iteration,question
71,I used transportation other than walking yesterday.
71,I ate benachin yesterday.
71,I slept under a mosquito net last night.
72,I used a telephone yesterday.
72,I worked yesterday.
72,I used transportation other than walking yesterday.
72,I slept under a mosquito net last night.
72,I ate benachin yesterday.
73,I used transportation other than walking yesterday.
73,I ate benachin yesterday.
73,I slept under a mosquito net last night.
73,I used a telephone yesterday.
73,I worked yesterday.
74,I used transportation other than walking yesterday.
74,I ate benachin yesterday.
74,I slept under a mosquito net last night.
74,I worked yesterday.
74,I used a telephone yesterday.
75,I used transportation other than walking yesterday.
75,I ate benachin yesterday.
75,I used a telephone yesterday.
75,I slept under a mosquito net last night.
75,I worked yesterday.
76,I used transportation other than walking yesterday.
76,I ate benachin yesterday.
76,I used a telephone yesterday.
76,I worked yesterday.
76,I slept under a mosquito net last night.
77,I used transportation other than walking yesterday.
77,I ate benachin yesterday.
77,I worked yesterday.
77,I slept under a mosquito net last night.
77,I used a telephone yesterday.
78,I used transportation other than walking yesterday.
78,I ate benachin yesterday.
78,I worked yesterday.
78,I used a telephone yesterday.
78,I slept under a mosquito net last night.
79,I used transportation other than walking yesterday.
79,I slept under a mosquito net last night.
79,I ate benachin yesterday.
79,I used a telephone yesterday.
79,I worked yesterday.
80,I used transportation other than walking yesterday.
80,I slept under a mosquito net last night.
80,I ate benachin yesterday.
80,I worked yesterday.
80,I used a telephone yesterday.
81,I used transportation other than walking yesterday.
81,I slept under a mosquito net last night.
81,I used a telephone yesterday.
81,I ate benachin yesterday.
81,I worked yesterday.
82,I used transportation other than walking yesterday.
82,I slept under a mosquito net last night.
82,I used a telephone yesterday.
82,I worked yesterday.
82,I ate benachin yesterday.
83,I used transportation other than walking yesterday.
83,I slept under a mosquito net last night.
83,I worked yesterday.
83,I ate benachin yesterday.
83,I used a telephone yesterday.
84,I used transportation other than walking yesterday.
84,I slept under a mosquito net last night.
84,I worked yesterday.
84,I used a telephone yesterday.
84,I ate benachin yesterday.
85,I used transportation other than walking yesterday.
85,I used a telephone yesterday.
85,I ate benachin yesterday.
85,I slept under a mosquito net last night.
85,I worked yesterday.
86,I used transportation other than walking yesterday.
86,I used a telephone yesterday.
86,I ate benachin yesterday.
86,I worked yesterday.
86,I slept under a mosquito net last night.
87,I used transportation other than walking yesterday.
87,I used a telephone yesterday.
87,I slept under a mosquito net last night.
87,I ate benachin yesterday.
87,I worked yesterday.
88,I used transportation other than walking yesterday.
88,I used a telephone yesterday.
88,I slept under a mosquito net last night.
88,I worked yesterday.
88,I ate benachin yesterday.
89,I used transportation other than walking yesterday.
89,I used a telephone yesterday.
89,I worked yesterday.
89,I ate benachin yesterday.
89,I slept under a mosquito net last night.
90,I used transportation other than walking yesterday.
90,I used a telephone yesterday.
90,I worked yesterday.
90,I slept under a mosquito net last night.
90,I ate benachin yesterday.
91,I used transportation other than walking yesterday.
91,I worked yesterday.
91,I ate benachin yesterday.
91,I slept under a mosquito net last night.
91,I used a telephone yesterday.
92,I used transportation other than walking yesterday.
92,I worked yesterday.
92,I ate benachin yesterday.
92,I used a telephone yesterday.
92,I slept under a mosquito net last night.
93,I used transportation other than walking yesterday.
93,I worked yesterday.
93,I slept under a mosquito net last night.
93,I ate benachin yesterday.
93,I used a telephone yesterday.
94,I used transportation other than walking yesterday.
94,I worked yesterday.
94,I slept under a mosquito net last night.
94,I used a telephone yesterday.
94,I ate benachin yesterday.
95,I used transportation other than walking yesterday.
95,I worked yesterday.
95,I used a telephone yesterday.
95,I ate benachin yesterday.
95,I slept under a mosquito net last night.
96,I used transportation other than walking yesterday.
96,I worked yesterday.
96,I used a telephone yesterday.
96,I slept under a mosquito net last night.
96,I ate benachin yesterday.
97,I worked yesterday.
97,I ate benachin yesterday.
97,I slept under a mosquito net last night.
97,I used a telephone yesterday.
97,I used transportation other than walking yesterday.
98,I worked yesterday.
98,I ate benachin yesterday.
98,I slept under a mosquito net last night.
98,I used transportation other than walking yesterday.
98,I used a telephone yesterday.
99,I worked yesterday.
99,I ate benachin yesterday.
99,I used a telephone yesterday.
99,I slept under a mosquito net last night.
99,I used transportation other than walking yesterday.
100,I worked yesterday.
100,I ate benachin yesterday.
100,I used a telephone yesterday.
100,I used transportation other than walking yesterday.
100,I slept under a mosquito net last night.
101,I worked yesterday.
101,I ate benachin yesterday.
101,I used transportation other than walking yesterday.
101,I slept under a mosquito net last night.
101,I used a telephone yesterday.
102,I worked yesterday.
102,I ate benachin yesterday.
102,I used transportation other than walking yesterday.
102,I used a telephone yesterday.
102,I slept under a mosquito net last night.
103,I worked yesterday.
103,I slept under a mosquito net last night.
103,I ate benachin yesterday.
103,I used a telephone yesterday.
103,I used transportation other than walking yesterday.
104,I worked yesterday.
104,I slept under a mosquito net last night.
104,I ate benachin yesterday.
104,I used transportation other than walking yesterday.
104,I used a telephone yesterday.
105,I worked yesterday.
105,I slept under a mosquito net last night.
105,I used a telephone yesterday.
105,I ate benachin yesterday.
105,I used transportation other than walking yesterday.
106,I worked yesterday.
106,I slept under a mosquito net last night.
106,I used a telephone yesterday.
106,I used transportation other than walking yesterday.
106,I ate benachin yesterday.
107,I worked yesterday.
107,I slept under a mosquito net last night.
107,I used transportation other than walking yesterday.
107,I ate benachin yesterday.
107,I used a telephone yesterday.
108,I worked yesterday.
108,I slept under a mosquito net last night.
108,I used transportation other than walking yesterday.
108,I used a telephone yesterday.
108,I ate benachin yesterday.
109,I worked yesterday.
109,I used a telephone yesterday.
109,I ate benachin yesterday.
109,I slept under a mosquito net last night.
109,I used transportation other than walking yesterday.
110,I worked yesterday.
110,I used a telephone yesterday.
110,I ate benachin yesterday.
110,I used transportation other than walking yesterday.
110,I slept under a mosquito net last night.
111,I worked yesterday.
111,I used a telephone yesterday.
111,I slept under a mosquito net last night.
111,I ate benachin yesterday.
111,I used transportation other than walking yesterday.
112,I worked yesterday.
112,I used a telephone yesterday.
112,I slept under a mosquito net last night.
112,I used transportation other than walking yesterday.
112,I ate benachin yesterday.
113,I worked yesterday.
113,I used a telephone yesterday.
113,I used transportation other than walking yesterday.
113,I ate benachin yesterday.
113,I slept under a mosquito net last night.
114,I worked yesterday.
114,I used a telephone yesterday.
114,I used transportation other than walking yesterday.
114,I slept under a mosquito net last night.
114,I ate benachin yesterday.
115,I worked yesterday.
115,I used transportation other than walking yesterday.
115,I ate benachin yesterday.
115,I slept under a mosquito net last night.
115,I used a telephone yesterday.
116,I worked yesterday.
116,I used transportation other than walking yesterday.
116,I ate benachin yesterday.
116,I used a telephone yesterday.
116,I slept under a mosquito net last night.
117,I worked yesterday.
117,I used transportation other than walking yesterday.
117,I slept under a mosquito net last night.
117,I ate benachin yesterday.
117,I used a telephone yesterday.
118,I worked yesterday.
118,I used transportation other than walking yesterday.
118,I slept under a mosquito net last night.
118,I used a telephone yesterday.
118,I ate benachin yesterday.
119,I worked yesterday.
119,I used transportation other than walking yesterday.
119,I used a telephone yesterday.
119,I ate benachin yesterday.
119,I slept under a mosquito net last night.
120,I worked yesterday.
120,I used transportation other than walking yesterday.
120,I used a telephone yesterday.
120,I slept under a mosquito net last night.
120,I ate benachin yesterday.
